intent,entity,utterance_zou,response_zou,utterance_en,response_en  
geo_Af22,"national capital, khopi, Guinea",Guinea gam capital bang e?,"Conakry ahi",What is the capital of Guinea?,"It's Conakry." 
geo_Af23,"national capital, khopi, Guinea-Bissau",Guinea-Bissau gam capital bang e?,"Bissau ahi",What is the capital of Guinea-Bissau?,"It's Bissau." 
geo_Af24,"national capital, khopi, Kenya",Kenya gam capital bang e?,"Nairobi ahi",What is the capital of Kenya?,"It's Nairobi." 
geo_Af25,"national capital, khopi, Lesotho",Lesotho gam capital bang e?,"Maseru ahi",What is the capital of Lesotho?,"It's Maseru." 
geo_Af26,"national capital, khopi, Liberia",Liberia gam capital bang e?,"Monrovia ahi",What is the capital of Liberia?,"It's Monrovia." 
geo_Af27,"national capital, khopi, Libya",Libya gam capital bang e?,"Tripoli ahi",What is the capital of Libya?,"It's Tripoli." 
geo_Af28,"national capital, khopi, Madagascar",Madagascar gam capital bang e?,"Antananarivo ahi",What is the capital of Madagascar?,"It's Antananarivo." 
geo_Af29,"national capital, khopi, Malawi",Malawi gam capital bang e?,"Lilongwe ahi",What is the capital of Bhutan?,"It's Lilongwe." 
geo_Af30,"national capital, khopi, Mali",Mali gam capital bang e?,"Bamako ahi",What is the capital of Mali?,"It's Bamako." 
geo_Af31,"national capital, khopi, Mauritania",Mauritania gam capital bang e?,"Nouakchott ahi",What is the capital of Mauritania?,"It's Nouakchott." 
geo_Af32,"national capital, khopi, Mauritius",Mauritius gam capital bang e?,"Port Louis ahi",What is the capital of Mauritius?,"It's Port Louis." 
geo_Af33,"national capital, khopi, Morocco",Morocco gam capital bang e?,"Rabat ahi",What is the capital of Morocco?,"It's Rabat." 
geo_Af34,"national capital, khopi, Mozambique",Mozambique gam capital bang e?,"Maputo ahi",What is the capital of Mozambique?,"It's Maputo." 
geo_Af35,"national capital, khopi, Namibia",Namibia gam capital bang e?,"Windhoek ahi",What is the capital of Namibia?,"It's Windhoek." 
geo_Af36,"national capital, khopi, Niger",Niger gam capital bang e?,"Niamey ahi",What is the capital of Niger?,"It's Niamey." 
geo_Af37,"national capital, khopi, Nigeria",Nigeria gam capital bang e?,"Abuja ahi",What is the capital of Nigeria?,"It's Abuja." 
geo_Af38,"national capital, khopi, Rwanda",Rwanda gam capital bang e?,"Kigali ahi",What is the capital of Rwanda?,"It's Kigali." 
geo_Af39,"national capital, khopi, Sao Tome and Principe",Sao Tome and Principe gam capital bang e?,"São Tomé ahi",What is the capital of Sao Tome and Principe?,"It's São Tomé." 
geo_Af40,"national capital, khopi, Senegal",Senegal gam capital bang e?,"Dakar ahi",What is the capital of Senegal?,"It's Dakar." 
geo_Af41,"national capital, khopi, Seychelles",Seychelles gam capital bang e?,"Victoria ahi",What is the capital of Seychelles?,"It's Victoria." 
geo_Af42,"national capital, khopi, Sierra Leone",Sierra Leone gam capital bang e?,"Freetown ahi",What is the capital of Sierra Leone?,"It's Freetown."
geo_Af43,"national capital, khopi, Somalia",Somalia gam capital bang e?,"Mogadishu ahi",What is the capital of Somalia?,"It's Mogadishu." 
geo_Af44,"national capital, khopi, South Africa",South Africa gam capital bang e?,"Pretoria (administrative), Cape Town (legislative),Bloemfontein (judicial) ahi uhi.",What is the capital of South Africa?,"It's Pretoria (administrative), Cape Town (legislative), Bloemfontein (judicial)." 
geo_Af45,"national capital, khopi, South Sudan",South Sudan gam capital bang e?,"Juba ahi",What is the capital of South Sudan?,"It's Juba." 
geo_Af46,"national capital, khopi, Sudan",Sudan gam capital bang e?,"Khartoum ahi",What is the capital of Sudan?,"It's Khartoum." 
geo_Af47,"national capital, khopi, Tanzania",Tanzania gam capital bang e?,"Dodoma ahi",What is the capital of Tanzania?,"It's Dodoma." 
geo_Af48,"national capital, khopi, Togo",Togo gam capital bang e?,"Lomé ahi",What is the capital of Togo?,"It's Lomé." 
geo_Af49,"national capital, khopi, Tunisia",Tunisia gam capital bang e?,"Tunis ahi",What is the capital of Tunisia?,"It's Tunis." 
geo_Af50,"national capital, khopi, Uganda",Uganda gam capital bang e?,"Kampala ahi",What is the capital of Uganda?,"It's Kampala." 
geo_Af51,"national capital, khopi, Zambia",Zambia gam capital bang e?,"Lusaka ahi",What is the capital of Zambia?,"It's Lusaka." 
geo_Af52,"national capital, khopi, Zimbabwe",Zimbabwe gam capital bang e?,"Harare ahi",What is the capital of Zimbabwe?,"It's Harare." 
ai_Prompt1,AI prompt,AI bang chi prompt ding e?,"Generative AI (ChatGPT, Google Gemini, Claude, etc.) na prompt chiang in, Role (persona) nei sah in len Data (context) kichian pe gige in.",Suggest a good practice to prompt generative AI,"When you prompt generative AI, 1. Define the role (persona) and 2. Provie the Data (contextual data)."
comp_py0,"Python syntax",Python a data structure bangbang e?,"Python ah data te List [], Dictionary {}, Tuple () chin a kikhen uhi. A thum un comma separator a nei ua, 'string' ten quote a poimo uhi. Dictionary in key-value pair anei hi, etsahnan, {'key1':'value1', 'key2':'value2'}",What is the data structure of Python?,"The data structure of Python includes List[], Dictionary {}, and Tuple( ). They all have comma separator; 'strings' are quoted. Dictionary has key-value pairs, eg., {'key1':'value1', 'key2': 'value2'}"
comp_theory0,"Computer theory, core four","Computer theory a core four te na thei ei?","Computer theory of Core Four te ahileh: Variable, Conditional, Loop, leh Function ahi.",What are the core four of computer thoery?,"The Core Four of computer theory are: Variables, Conditionals, Loop, and Functions." 
comp_theory1,"variable, variables, Variable","Variable bang e?","Variable in data a melchi (remember) hi.","What is a variable?","A variable stores value or remebers."
comp_theory2,"conditional, conditionals, Conditional","Conditional bang e?","Conditional in adih leh dihlou a khen a, decision abawl hi.","What is a conditional?","A conditional desides wha is True and False."
comp_theory3,"loop, loops, Loop","Loop bang e?","Loop in sil a velvel in (repeat) abawl hi.","What is a loop?","A loop repeats or iterates instructions."
comp_theory4,"function, functions, Function","Function bang e?","Function in code lui te zat thei kia reuse) in 'function call' abawl hi.","what is a function?","A function allows reuse of code blocks."
web_data,"data flow, data format",Internet a data flow leh layer te na thei ei?,"Internet a data flow pen layer 3 a khen thei ahia: Database (SQL/NoSQL/Cloud), API layer (json) leh, User layer (CSV leh excel)",What are the layers of data flow over the web?,"Over the web, data flow passes through 3 layers: Database (SQL/NoSQL/Cloud), API layer (json), and User layer (CSV and spreadsheets)."
web_rcf0,"ietf, IETF, rfc, RFC",RFC bang ahiai?,"RFC (Request for Comments) ahileh Internet Engineering Task Force (IETF) ten internet standards neitheina dia a bawl uh ahi. Internet-Draft (I-D) khat aki pom leh, RFC asuah a, For Your Information (FYI), Best Current Practice (BCP) leh Internet Standard (STD) tan pha a suah thei hi.",What is RFC?,"Request for Comments (RFC) is run by the Internet Engineering Task Force to maintain Internet Standards. If Internet Draft (I-D) gets approved, it becomes RFC beginning with For Your Information (FYI), Best Current Practice (BCP) and even Internet Standards (STD)."
web_rfc1,"Jon Postel, RCF editor, rcf, Steve Crocker",RFC tanchin na thei ei?,"RFC ahileh 1969 kum a Steve Crocker (UCLA) in ana pat ahia. RFC ahileh khovel a online publication series masa pen leh FTP hing pianna khiatna mun ahi. Hun sawtpi (kum 28) Jon Postel in RFC ana enkol hi.",What do you know about RFC?,"The RFC was started by Steve Crocker of UCLA in 1969. RFC was the first online publication series and it was managed for 28 years by Jon Postol."
quote0_"Thupil, 'wise saying",Thupil tom khat hing gen vawi,"You can ignore reality, but you can't ignore the consequences of ingoring reality - Ayn Rand",Give me an wise saying.,"You can ignore reality, but you can't ignore the consequences of ignoring reality."
quote1_"Thupil, 'wise saying",Thupil tom khat hing gen kia vawi,"Reality is that which, when you stop believing in it, doesn't go away - Philip K. Dick",Give me another wise saying.,"Reality is that which, when you stop believing in it, doesn't go away - Philip K. Dick."


     
